Date,Product,Units_Produced,Raw_Material_Cost,Labour_Cost,Maintenance_Cost,Energy_Cost,Total_Production_Cost
2023-02-24,Product C,148,27116,12444,6269,4485,50314
2024-05-10,Product C,163,17369,14226,7883,2750,42228
2024-01-03,Product A,146,32662,13887,7873,5939,60361
2024-08-17,Product C,161,15255,12739,2686,5257,35937
2023-12-20,Product C,188,33464,11129,7928,5693,58214
2023-05-30,Product A,181,29317,13977,4333,1854,49481
2024-05-18,Product C,167,27065,13388,7736,1966,50155
2023-03-12,Product B,190,23942,12305,4049,2895,43191
2023-09-29,Product C,158,15546,8175,6485,4118,34324
2023-05-12,Product A,188,34826,6796,4332,5974,51928
2023-06-16,Product B,176,28530,10419,6637,5529,51115
2023-12-16,Product C,125,22993,7131,5011,4223,39358
2023-05-12,Product A,175,22328,11039,7455,2833,43655
2024-07-17,Product A,155,24021,12187,5988,3682,45878
2023-09-25,Product C,154,28882,9583,5247,3728,47440
2023-07-01,Product C,91,15887,10162,4823,2627,33499
2024-09-19,Product C,141,16891,6241,3647,5566,32345
2024-08-15,Product B,96,19603,13126,7230,3136,43095
2024-08-11,Product A,193,15424,8950,5526,4208,34108
2023-10-05,Product B,83,28146,9044,6460,3246,46896
2024-05-13,Product C,149,30994,8440,2727,5654,47815
2023-06-19,Product A,191,20205,13018,3039,5099,41361
2024-11-14,Product B,176,17180,7171,5841,4001,34193
2024-02-04,Product C,183,28875,12029,5273,3240,49417
2023-09-21,Product A,153,31729,10360,2490,2032,46611
2023-02-11,Product C,177,15792,14035,2205,2001,34033
2023-10-29,Product A,160,33191,13483,3052,1774,51500
2023-12-09,Product C,127,28083,13383,4937,2457,48860
2024-05-30,Product C,180,25358,9641,7190,5737,47926
2023-08-16,Product C,162,32283,6563,6727,3754,49327
2023-06-01,Product A,165,32173,7925,7753,1789,49640
2023-05-23,Product A,146,34112,14965,3183,5487,57747
2024-11-05,Product C,173,16573,10526,5914,4236,37249
2023-01-06,Product B,147,32406,12368,7662,5352,57788
2024-04-05,Product C,85,21424,13358,5428,5419,45629
2023-05-01,Product A,177,34812,10566,4724,2350,52452
2024-02-08,Product A,178,32191,13435,3831,5346,54803
2024-03-21,Product C,177,30544,10102,2705,3982,47333
